start,h1_h2_512b,h1_h5_512b,h1_h3_512b
0.0,1693.066,1724.944,1516.02
1.0,1709.107,1685.515,1534.844
2.0,1718.519,1740.377,1509.782
3.0,1681.614,1752.017,1670.496
4.0,1673.738,1731.809,1713.266
5.0,1497.338,1813.457,1739.661
6.0,1716.116,1808.382,1774.125
7.0,1690.972,1777.186,1710.741
8.0,1723.008,1816.769,1655.131
9.0,1717.726,1722.367,1654.904
10.0,1693.247,1653.519,1586.511
11.0,1714.832,1644.87,1592.125
12.0,1816.969,1665.835,1629.25
13.0,1749.594,1728.991,1655.11
14.0,1712.084,1719.076,1664.022
15.0,1713.456,1725.992,1664.839
16.0,1729.959,1714.97,1690.465
17.0,1742.699,1719.445,1489.228
18.0,1751.807,1757.56,1202.903
19.0,1773.793,1734.571,1290.597
20.0,1767.814,1687.091,1032.991
21.0,1726.554,1720.914,1064.926
22.0,1685.286,1724.2,986.695
23.0,1694.12,1719.405,900.413
24.0,1697.249,1715.949,1020.557
25.0,1732.994,1635.155,1264.119
26.0,1736.547,1653.068,1224.241
27.0,1694.674,1675.563,1205.54
28.0,1689.202,1711.624,1194.921
29.0,1436.271,1711.118,1131.444
30.0,176.671,1667.905,1229.819
31.0,1720.724,1664.0,1129.481
32.0,1651.209,1393.429,1414.67
33.0,1697.047,886.294,1485.47
34.0,1727.103,492.145,1510.056
35.0,1703.312,1675.085,1514.02
36.0,1757.163,1727.344,1526.147
37.0,1727.077,1699.198,1437.332
38.0,1689.789,1647.389,1493.245
39.0,1681.476,1648.411,1523.957
40.0,1714.966,1630.47,1505.182
41.0,1729.521,1652.949,1407.962
42.0,1738.076,1659.228,1423.968
43.0,1758.565,1669.016,1395.919
44.0,1788.878,1650.364,621.479
45.0,1739.341,1646.382,861.37
46.0,1731.319,1648.187,1457.894
47.0,1739.485,1630.329,1283.695
48.0,1738.232,11.625,1425.697
49.0,1729.654,1691.246,1441.134
50.0,1782.756,1773.778,1448.446
51.0,1771.472,1716.425,1239.905
52.0,1694.39,1597.279,1285.996
53.0,1689.665,1571.194,1321.055
54.0,1687.513,1590.595,1359.922
55.0,1677.845,1670.041,1486.376
56.0,1747.612,1697.344,1521.516
57.0,1733.425,1509.964,1404.492
58.0,1709.1,1327.508,1391.939
59.0,1684.727,1481.039,1528.314
