,h1_h2_512b,h1_h5_512b,h1_h3_512b
count,60.0,60.0,60.0
mean,1686.6411333333333,1615.2983666666664,1400.7720833333335
std,205.9952522026074,291.3668864562088,239.09655951123926
min,176.671,11.625,621.479
25%,1692.5425,1647.13725,1258.0655
50%,1716.921,1680.5390000000002,1444.79
75%,1738.115,1722.8252499999999,1529.9465
max,1816.969,1816.769,1774.125
