,h1_h3_1512b,h1_h3_64b,h1_h3_512b
count,60.0,60.0,60.0
mean,3557.1255166666665,212.2956666666667,1400.7720833333335
std,527.2593669669828,21.42480288275651,239.09655951123926
min,978.275,69.259,621.479
25%,3607.47125,210.28525000000002,1258.0655
50%,3682.951,216.49450000000002,1444.79
75%,3761.14175,219.226,1529.9465
max,3956.425,231.391,1774.125
