,h1_h2_512b,h1_h3_1512b,h1_h2_1512b,h1_h5_1512b,h1_h3_64b,h1_h5_512b,h1_h5_64b,h1_h2_64b,h1_h3_512b
count,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
mean,1686.6411333333333,3557.1255166666665,3761.8689333333327,3356.1009999999997,212.2956666666667,1615.2983666666664,206.50183333333337,210.9644,1400.7720833333335
std,205.9952522026074,527.2593669669828,390.904339990167,408.1926573632702,21.42480288275651,291.3668864562088,35.52891730911867,33.72198570524999,239.09655951123926
min,176.671,978.275,1286.194,1288.063,69.259,11.625,27.343,39.349,621.479
25%,1692.5425,3607.47125,3730.68025,3174.272,210.28525000000002,1647.13725,210.455,209.82874999999999,1258.0655
50%,1716.921,3682.951,3838.8450000000003,3386.455,216.49450000000002,1680.5390000000002,214.7055,219.423,1444.79
75%,1738.115,3761.14175,3911.04625,3620.0944999999997,219.226,1722.8252499999999,219.39600000000002,225.63775,1529.9465
max,1816.969,3956.425,4001.337,3991.834,231.391,1816.769,233.747,234.825,1774.125
