,h1_h2_512b,h1_h2_1512b,h1_h2_64b
count,60.0,60.0,60.0
mean,1686.6411333333333,3761.8689333333327,210.9644
std,205.9952522026074,390.904339990167,33.72198570524999
min,176.671,1286.194,39.349
25%,1692.5425,3730.68025,209.82874999999999
50%,1716.921,3838.8450000000003,219.423
75%,1738.115,3911.04625,225.63775
max,1816.969,4001.337,234.825
