start,h1_h3_1512b,h1_h2_1512b,h1_h5_1512b
0.0,3316.237,3730.709,3286.067
1.0,3640.303,3746.089,3737.12
2.0,3816.777,4001.337,3035.122
3.0,3827.523,3929.287,3015.32
4.0,3854.732,3921.193,3583.988
5.0,3729.481,3953.635,3355.53
6.0,3654.12,3948.322,2936.431
7.0,3688.92,3875.166,2933.816
8.0,3740.872,3875.853,3189.846
9.0,3494.385,3861.538,3092.273
10.0,3619.391,3977.964,3168.149
11.0,3607.527,3877.418,3401.644
12.0,3665.956,3757.227,3321.134
13.0,3736.194,3765.193,3475.787
14.0,3763.31,3745.452,3488.089
15.0,3769.741,3824.312,3176.313
16.0,3699.756,3864.902,3292.055
17.0,3707.463,3872.628,3371.7
18.0,3607.304,3895.241,3382.102
19.0,3632.401,3980.692,3373.365
20.0,3760.419,3904.968,3269.011
21.0,3750.792,3886.697,3216.028
22.0,3815.556,3806.266,3504.284
23.0,3792.194,3706.607,3454.163
24.0,3489.987,3688.046,3558.931
25.0,3679.256,3724.368,3390.808
26.0,3640.476,3730.594,3181.694
27.0,3723.706,3741.664,2577.653
28.0,3811.173,3823.981,3167.814
29.0,3835.175,3775.31,2993.29
30.0,3799.588,2378.868,3256.37
31.0,3749.856,1286.194,3462.281
32.0,3719.337,3964.809,3501.624
33.0,3681.572,3999.205,3687.647
34.0,3773.362,3958.238,1288.063
35.0,3696.835,3949.315,2501.043
36.0,3684.285,3889.801,3991.834
37.0,3448.591,3919.081,3851.609
38.0,3555.955,3987.057,3887.536
39.0,3549.544,3908.368,3610.906
40.0,3626.772,3814.38,3626.756
41.0,3651.03,3706.31,3617.874
42.0,3663.334,3813.246,3685.151
43.0,3459.683,3900.874,3787.49
44.0,1035.188,3924.509,3804.79
45.0,2566.03,3932.358,3669.697
46.0,3535.73,3884.655,3465.433
47.0,3191.717,3865.14,3137.275
48.0,3562.477,3824.293,3030.584
49.0,3611.637,3658.48,3091.431
50.0,3657.645,3799.042,3248.931
51.0,3766.4,3853.378,3358.066
52.0,3744.41,3815.265,3133.744
53.0,978.275,3625.873,3537.346
54.0,2795.977,3595.17,3690.875
55.0,3681.617,3684.894,3723.423
56.0,3852.236,3698.346,3741.709
57.0,3956.425,3682.419,3733.716
58.0,3807.276,3679.789,3614.816
59.0,3753.62,3520.12,3698.513
