,h1_h5_1512b,h1_h5_512b,h1_h5_64b
count,60.0,60.0,60.0
mean,3356.1009999999997,1615.2983666666664,206.50183333333337
std,408.1926573632702,291.3668864562088,35.52891730911867
min,1288.063,11.625,27.343
25%,3174.272,1647.13725,210.455
50%,3386.455,1680.5390000000002,214.7055
75%,3620.0944999999997,1722.8252499999999,219.39600000000002
max,3991.834,1816.769,233.747
