,h1_h3_64b,h1_h5_64b,h1_h2_64b
count,60.0,60.0,60.0
mean,212.2956666666667,206.50183333333337,210.9644
std,21.42480288275651,35.52891730911867,33.72198570524999
min,69.259,27.343,39.349
25%,210.28525000000002,210.455,209.82874999999999
50%,216.49450000000002,214.7055,219.423
75%,219.226,219.39600000000002,225.63775
max,231.391,233.747,234.825
